Country,City,Region,Subregion,Customer,Industry,Segment,Product,Sales,Quantity,Discount,Profit,Year,Month,Day
Ireland,Dublin,EMEA,UKIR,Chevron,Energy,SMB,Marketing Suite,261.96,2.0,0.0,41.9136,2022,11,9
Ireland,Dublin,EMEA,UKIR,Chevron,Energy,SMB,FinanceHub,731.94,3.0,0.0,219.582,2022,11,9
United States,New York City,AMER,NAMER,Phillips 66,Energy,Strategic,FinanceHub,14.62,2.0,0.0,6.8714,2022,6,13
Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,Energy,SMB,ContactMatcher,957.5775,5.0,0.45,-383.031,2021,10,11
Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,Energy,SMB,Marketing Suite - Gold,22.368,2.0,0.2,2.5164,2021,10,11
United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,SaaS Connector Pack,48.86,7.0,0.0,14.1694,2020,6,9
United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ChatBot Plugin,7.28,4.0,0.0,1.9656,2020,6,9
United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,Site Analytics,907.152,6.0,0.2,90.7152,2020,6,9
United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ContactMatcher,18.504,3.0,0.2,5.7825,2020,6,9
United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,OneView,114.9,5.0,0.0,34.47,2020,6,9
United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,ContactMatcher,1706.184,9.0,0.2,85.3092,2020,6,9
United States,New York City,AMER,NAMER,BNP Paribas,Finance,SMB,Site Analytics,911.424,4.0,0.2,68.3568,2020,6,9
Sweden,Stockholm,EMEA,NOR,Engie,Energy,SMB,Support,15.552,3.0,0.2,5.4432,2023,4,16
Canada,Toronto,AMER,NAMER,Microsoft,Tech,SMB,ContactMatcher,407.976,3.0,0.2,132.5922,2022,12,6
Japan,Saitama,APJ,JAPN,Pfizer,Healthcare,Enterprise,OneView,68.81,5.0,0.8,-123.858,2021,11,22
Japan,Saitama,APJ,JAPN,Pfizer,Healthcare,Enterprise,ContactMatcher,2.544,3.0,0.8,-3.816,2021,11,22
Italy,Naples,EMEA,EU,Toyota Motor,Manufacturing,SMB,Marketing Suite - Gold,665.88,6.0,0.0,13.3176,2020,11,11
Turkey,Ankara,EMEA,MEA,Home Depot,Retail,SMB,Marketing Suite - Gold,55.5,2.0,0.0,9.99,2020,5,13
United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,ChatBot Plugin,8.56,2.0,0.0,2.4824,2020,8,27
United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,Site Analytics,213.48,3.0,0.2,16.011,2020,8,27
United States,Los Angeles,AMER,NAMER,Wells Fargo,Finance,SMB,ContactMatcher,22.72,4.0,0.2,7.384,2020,8,27
Costa Rica,San José,AMER,LATAM,Carrefour,Retail,Strategic,ChatBot Plugin,19.46,7.0,0.0,5.0596,2022,12,10
Costa Rica,San José,AMER,LATAM,Carrefour,Retail,Strategic,OneView,60.34,7.0,0.0,15.6884,2022,12,10
France,Paris,EMEA,EU-WEST,Costco Wholesale,Retail,SMB,FinanceHub,71.372,2.0,0.3,-1.0196,2023,7,17
Turkey,Istanbul,EMEA,MEA,McKesson,Consumer Products,SMB,ContactMatcher,1044.63,3.0,0.0,240.2649,2021,9,25
United States,New York City,AMER,NAMER,Siemens,Manufacturing,SMB,ContactMatcher,11.648,2.0,0.2,4.2224,2022,1,16
United States,New York City,AMER,NAMER,Siemens,Manufacturing,SMB,Data Smasher,90.57,3.0,0.0,11.7741,2022,1,16
France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,Marketing Suite,3083.43,7.0,0.5,-1665.0522,2021,9,17
France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,ContactMatcher,9.618,2.0,0.7,-7.0532,2021,9,17
France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,SaaS Connector Pack,124.2,3.0,0.2,15.525,2021,9,17
France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,SaaS Connector Pack - Gold,3.264,2.0,0.2,1.1016,2021,9,17
France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,ChatBot Plugin,86.304,6.0,0.2,9.7092,2021,9,17
France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,ContactMatcher,6.858,6.0,0.7,-5.715,2021,9,17
France,Paris,EMEA,EU-WEST,Intel,Tech,SMB,ChatBot Plugin,15.76,2.0,0.2,3.546,2021,9,17
Japan,Tokyo,APJ,JAPN,Glencore,Misc,Enterprise,Support,29.472,3.0,0.2,9.9468,2023,10,20
Japan,Aichi,APJ,JAPN,Procter & Gamble,Consumer Products,Strategic,Site Analytics,1097.544,7.0,0.2,123.4737,2022,12,9
Japan,Aichi,APJ,JAPN,Procter & Gamble,Consumer Products,Strategic,SaaS Connector Pack,190.92,5.0,0.6,-147.963,2022,12,9
Japan,Tokyo,APJ,JAPN,Banco Santander,Finance,Enterprise,SaaS Connector Pack - Gold,113.328,9.0,0.2,35.415,2021,12,27
Japan,Tokyo,APJ,JAPN,Banco Santander,Finance,Enterprise,Marketing Suite,532.3992,3.0,0.32,-46.9764,2021,12,27
Japan,Tokyo,APJ,JAPN,Banco Santander,Finance,Enterprise,FinanceHub,212.058,3.0,0.3,-15.147,2021,12,27
Japan,Tokyo,APJ,JAPN,Banco Santander,Finance,Enterprise,Site Analytics,371.168,4.0,0.2,41.7564,2021,12,27
Australia,Wollongong,APJ,ANZ,Pemex,Energy,Strategic,Site Analytics,147.168,4.0,0.2,16.5564,2023,9,11
United States,New York City,AMER,NAMER,Siemens,Manufacturing,Strategic,Marketing Suite - Gold,77.88,2.0,0.0,3.894,2022,7,18
Germany,Hanover,EMEA,EU-WEST,Samsung Electronics,Tech,Strategic,Marketing Suite - Gold,95.616,2.0,0.2,9.5616,2023,9,20
Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,Tech,Strategic,Data Smasher,45.98,2.0,0.0,19.7714,2022,3,12
Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,Tech,Strategic,ContactMatcher,17.46,2.0,0.0,8.2062,2022,3,12
Brazil,Salvador,AMER,LATAM,Morgan Stanley,Finance,SMB,Marketing Suite - Gold,211.96,4.0,0.0,8.4784,2020,10,20
Philippines,Davao City,APJ,APAC,Bank of America Corp.,Finance,SMB,Data Smasher,45.0,3.0,0.0,4.95,2022,6,21
Philippines,Davao City,APJ,APAC,Bank of America Corp.,Finance,SMB,Site Analytics,21.8,2.0,0.0,6.104,2022,6,21
India,Kolkata,APJ,IND,Siemens,Manufacturing,SMB,ContactMatcher,38.22,6.0,0.0,17.9634,2021,4,18
India,Kolkata,APJ,IND,Siemens,Manufacturing,SMB,FinanceHub,75.18,6.0,0.0,35.3346,2021,4,18
India,Kolkata,APJ,IND,Siemens,Manufacturing,SMB,SaaS Connector Pack,6.16,2.0,0.0,2.9568,2021,4,18
India,Kolkata,APJ,IND,Siemens,Manufacturing,SMB,FinanceHub,89.99,1.0,0.0,17.0981,2021,4,18
United Kingdom,London,EMEA,UKIR,Tesco,Retail,Strategic,Storage,15.26,7.0,0.0,6.2566,2022,12,12
United Kingdom,London,EMEA,UKIR,Tesco,Retail,Strategic,Site Analytics,1029.95,5.0,0.0,298.6855,2022,12,12
United Kingdom,Brighton,EMEA,UKIR,Aviva,Finance,SMB,Marketing Suite - Gold,208.56,6.0,0.0,52.14,2022,6,18
United Kingdom,Brighton,EMEA,UKIR,Aviva,Finance,SMB,Support,32.4,5.0,0.0,15.552,2022,6,18
